trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-69.27471366688908,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-73.8144084984362,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-81.88146637369036,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-84.25625193500919,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-173.93963956400108,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-54.8955835417425,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-77.89914207982804,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-36.295057073947234,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,12,-44.695188808516,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-271.58305496949566,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,20.678033710898486,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-30.76794454335981,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-78.25037550577424,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,3.3080592944179976,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-9.952273251897342,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-84.05226231250816,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-22.114331849981863,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-6.89615465085147,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-51.419603164733644,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,-31.325703309093196,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,13,27.10215036105348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,5,31.427133670202434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,-21.36292282029677,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,6,-40.68811720808018,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-18.226439508114105,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-44.64058243370906,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-41.97957164211441,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,18,15.840709776575617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,-64.80909661765764,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-3.0081776818425365,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
