trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.003, 'e': 1.0}",30,0,-134.88890639531544,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.003, 'e': 0.997004495503373}",20,0,-126.68345746268004,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.003, 'e': 0.9940179640539353}",25,0,-86.2719445024805,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.003, 'e': 0.9910403787728836}",30,0,-81.60310586102443,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.003, 'e': 0.9880717128619305}",30,0,-186.79381667078874,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.003, 'e': 0.9851119396030626}",30,3,-158.58994621593075,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 2}",1
7,False,"{'a': 0.003, 'e': 0.9821610323583008}",20,0,-67.82401282960106,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.003, 'e': 0.9792189645694596}",30,0,-117.12344042545995,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.003, 'e': 0.9762857097579093}",25,0,-139.64120231079272,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.003, 'e': 0.9733612415243368}",25,0,-106.20832949495912,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.003, 'e': 0.9704455335485082}",25,0,-139.52520978709305,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.003, 'e': 0.967538559589032}",25,4,-105.86059073571224,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 1}",1
13,False,"{'a': 0.003, 'e': 0.9646402934831231}",20,0,-49.54337863209081,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.003, 'e': 0.9617507091463667}",20,3,-69.96130178834493,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.003, 'e': 0.9588697805724845}",20,3,-37.78393974908096,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
16,False,"{'a': 0.003, 'e': 0.9559974818331}",20,0,-134.352502523925,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.003, 'e': 0.9531337870775047}",20,0,-42.01436176247859,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.003, 'e': 0.950278670532427}",25,5,-61.49874001004806,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.003, 'e': 0.9474321065017983}",20,3,-133.39839843641806,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
20,False,"{'a': 0.003, 'e': 0.9445940693665233}",25,0,-136.9298126596505,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.003, 'e': 0.9417645335842487}",20,10,-2.816412264196492,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.003, 'e': 0.9389434736891332}",20,0,-74.76527601491476,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.003, 'e': 0.9361308642916188}",30,3,-170.018441636508,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 2}",1
24,False,"{'a': 0.003, 'e': 0.933326680078202}",20,0,-79.24000350363521,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.003, 'e': 0.9305308958112057}",30,0,-161.0118238420514,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
26,False,"{'a': 0.003, 'e': 0.9277434863285529}",30,0,-156.97340822752406,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
27,False,"{'a': 0.003, 'e': 0.9249644265435393}",25,0,-136.12953073830738,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.003, 'e': 0.922193691444608}",20,0,-92.973490703105,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.003, 'e': 0.9194312560951247}",30,0,-98.2437645290623,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.003, 'e': 0.9166770956331523}",20,0,-54.641912007015556,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.003, 'e': 0.9139311852712282}",20,0,-139.85317637341524,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.003, 'e': 0.9111935002961405}",25,3,-66.13368895523391,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 0}",1
33,False,"{'a': 0.003, 'e': 0.9084640160687062}",20,0,-95.95956542652166,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
34,False,"{'a': 0.003, 'e': 0.9057427080235485}",25,0,-124.50481353338374,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
35,False,"{'a': 0.003, 'e': 0.9030295516688768}",20,0,-103.92645820529637,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.003, 'e': 0.9003245225862656}",25,0,-45.079474048497225,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",1
37,False,"{'a': 0.003, 'e': 0.8976275964304349}",25,0,-90.64769531918517,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.003, 'e': 0.894938748929031}",25,0,-154.0684032386162,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.003, 'e': 0.8922579558824083}",25,0,-125.56258855338761,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.003, 'e': 0.8895851931634113}",25,2,-114.68900770643117,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
41,False,"{'a': 0.003, 'e': 0.8869204367171575}",20,0,-54.73514020198648,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
