trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.8909522054,"{0: 15, 1: 8, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.59106889553905,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.54665305976744,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.96846046126802,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.64222789347805,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.21472519408258,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,6,-157.67364141725693,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.67332508912196,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.8713114251973,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,6,-22.701245585755128,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.09804716868368,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.98651010902724,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.09944352778282,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.29228255221386,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.0137453487039,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.29660574205309,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.70937907121174,"{0: 10, 1: 5, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.03725330802544,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.21376528740618,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.57523227284844,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.60671363532933,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.57321714288997,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.22949324594035,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.76443659944619,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.72457271581754,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.67664689045634,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-229.5530093718663,"{0: 11, 1: 0, 2: 2, 3: 3, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.78326620968917,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.54180451875452,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,12,-22.352576384452494,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
