trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.2319958702103,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-94.61782622543396,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-111.08769356539523,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-143.1582102429401,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-155.28082994966383,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,14,11.947561566577013,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,16,-53.73292104717082,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-115.22872744676053,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-142.2836194610311,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-190.9353653573284,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,8.751872770068358,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-58.18691970819085,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-113.03542785836525,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-66.8241606773505,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-141.5549603929114,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-55.29076427551577,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-27.795425808861687,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,16,6.076989022518375,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-164.1377921706849,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-18.226595954339093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",35,25,18.865711917200667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,3,-79.8244721633902,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",20,0,-66.66159565626198,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-45.98739329274746,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,13,7.267127367927029,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,3,-78.56160920805794,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,6,-70.10075510666411,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,6,-26.107888254005545,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,9,-53.51365315687639,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,6,-64.71763697303253,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 1}",1
